Destinasi,Gambar,Detail,Jam Operasional,Biaya Masuk,Penginapan,Preferensi 1,Preferensi 2
Pantai Pohon Cinta,,"Pantai Pohon Cinta terkenal akan keindahannya. Dimana, para wisatawan akan bisa menikmati sejuknya angin sepoi sepoi di pantai satu ini. Memiliki pemandangan yang memukau, merupakan salah satu hal yang dapat menarik wisatawan. Ketika berada disini, maka nantinya pengunjung dapat memandang hamparan laut yang tenang dan hampir tidak berombak. Sehingga akan menjadi lokasi yang cocok bagi Anda yang sedang dilAnda penat dan menginginkan ketenangan. ",Setiap hari (24 jam),Rp5.000,,,wisata air
Air Terjun Lombongo,,"Air terjun Lombongo ini mungkin masih terdengar asing di telinga Anda. Itu karena surga tersembunyi ini tidak banyak dikenal orang. Lokasi objek wisata ini adalah berada di Desa Lombongo sendiri, kecamatan Suwawa, Kabupaten Bone Bolango Provinsi Gorontalo. Pemandangannya juga sangat indah dan menakjubkan. Meskipun tersembunyi, objek wisata satu ini memiliki pemandangan yang sangat indah. Sangat cocok bagi Anda yang ingin merilekskan pikiran dan menghabiskan waktu liburan panjang. Bahkan di sana terdapat pohon yang begitu lebat, tepatnya di hutan Taman Nasional Bogani Nani Wartabone.",Setiap hari (24 jam),Rp10.000,,,wisata air
Wisata Pantai Leato,,"Pantai Pasir Putih Leato salah satu wisata pantai favorit di Kota Gorontalo. Alamnya masih sangat terjaga, hamparan pasir putihnya pun menjadi daya tarik tersendiri bagi wisatawan.  Pantai Pasir Putih Leato memiliki panorama yang memukau. Entah dari perjalanan maupun pada saat di pantainya. ",Setiap hari (24 jam),Rp5.000,,,wisata air
Patung Nani Wartabone,,"Monumen Nani Wartabone dibangun pada tahun 1987 oleh Wali Kota Gorontalo ke-5, Bapak Drs. A. Nadjamudin. Monumen ini dibangun untuk menghomati jasa Pahlawan Nasional sekaligus Perintis Kemerdekaan, Bapak Nani Wartabone. ",Setiap hari (24 jam),Gratis,,,wisata kota
Masjid Agung Baitturahim,,"Masjid Agung Baiturrahim adalah salah satu masjid tertua dan terbesar di Provinsi Gorontalo.  Bangunan Masjid Agung Baiturrahim gorontalo sendiri terlihat seperti dua bangunan kembar yang menyatu. Pada dinding masjid, dipenuhi lukisan kaligrafi yang terlihat indah pada bagian interiornya. Plafon Masjid ini cukup tinggi, sehingga, suasana di dalam masjid pun sejuk, berbeda dengan hawa panas Gorontalo ketika berada di luar masjid",Setiap hari (24 jam),Gratis,,,situs bersejarah dan religi
Pantai Oluhuta,,Pantai Oluhuta adalah pantai di Gorontalo yang memiliki pasir putih. Pantai ini terlihat indah ditambah dengan adanya karang dan hijaunya pepohonan.,Setiap hari (24 jam),Gratis,,,wisata air
Miguel's Diving Gorontalo,,"Miguel diving menyediakan tempat untuk diving. Disini wisatawan dapat menyelam, menyewa alat selam, dan lain sebagainya yang berhubungan dengan diving.",Setiap hari (7.30 - 18.00),Rp100.000,,,wisata air
Pia Saronde,,"Pia Saronde merupakan satu dari tempat belanja oleh-oleh khas Gorontalo. Disini menjual Pia Saronde dengan rasa keju, coklat, kacang hijau pandan. Selain itu juga menyediakan beragam camilan dan produk hasil olahan perikanan seperti sambal tuna, sambal sagela, sambal nike, sagela tumbuk, nike krispi, payangga krispi dan abon ikan.",Setiap hari (07.30 - 22.30),Gratis,,,wisata kota
River Tubing,,Wisata ini merupakan temapt yang dapat digunakan untuk bermain air seperti arung jeram. Airnya yang jernih serta bebatuan yang ada memberikan kesan tersendiri.,Setiap hari (09.00 - 16.30),Rp100.000,,,wisata air
Negeri Diatas Awan Buntu Liarra,,"Negeri Di atas Awan Buntu Liarra merupakan salah satu objek wisata yang ada di Kabupaten Mamasa. Gunung ini tepat berada di Desa Balla Tumuka, Kecamatan Balla. Pemandangan yang indah dan alami bisa disaksikan diatas puncak gunung ini. Panorama persawahan dan binatang ternak masyarakat setempat dapat menambah pemandangan yang alami saat berjalan menuju puncak gunung tersebut. ",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Wisata Alam Rawa Bangun,,"Wisata Alam Rawa Bangun merupakan objek wisata yang sangat direkomendasikan bagi wisatawan yang ingin bersantai dan hiruk pikuk kota. Wisata Alam Rawa Bangun memiliki luas sekitar 3 hektar. Memiliki fasilitas kolam memancing, kolam renang untuk anak-anak, permandian alam, musholla, dan lain-lain. Juga ada tempat makan yang menawarkan kuliner lokal seperti ikan mas, ikan nila, ayam dan bebek. Bisa ilih digoreng atau dibakar. Memasuki kawasan Rawa Bangun akan sangat terasa nuansa alamnya yang sejuk. Air kolam renangnya berasal dari aliran sungai yang segar. Ada 3 kolam ikan yang menampung kelebihan air yang meluap dari kolam renang.",Setiap hari (24 jam),Rp5.000,,,wisata air
Bukit Jati Gentungan Mamuju,,"Bukit Jati Gentungan merupakan salah satu objek wisata yang patut wisatawan kunjungi ketika berada di Sulawesi Barat. Memiliki area yang luas serta dilengkapi dengan bentang darat dan panorama alam hijau yang melimpah dapat memikat wisatawan yang berkunjung ke objek wisata ini. Keindahan bukit ini tidak hanya itu, Dalam perjalanan menuju objek wisata ini wisatawan akan disambut oleh panorama memukau dari jajaran pohon jati yang menjulang tinggi di sepanjang jalan. Di kawasan wisata ini terdapat pemandian dengan latar pegunungan yang tidak boleh dilewatkan jika memiliki kesempatan untuk berkunjung.",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Pulau Karampuang,,"Pulau Karampuang merupakan pulau yang masih masuk dalam kategori rural dengan sedikit pemukiman dan pemanfaatan lahan yang berskala rumah tangga. Pulau seluas lebih kurang 6 kilometer per segi ini, mempunyai penduduk sebanyak 2.937 jiwa pada 2018. Dari pusat kota Mamuju, pulau ini dapat ditempuh selama lebih kurang 15-20 menit dengan menggunakan perahu sewaan. Jaraknya sekitar 3 kilometer dari daratan Mamuju. Itulah sebabnya pulau ini bisa terlihat jelas dari Anjungan Pantai Manakarra.",Setiap hari (24 jam),Rp20.000,,,wisata air
Mangrove Rewataa,,"Mangrove Rewataa merupakan wisata alam Mangrove di Sulawesi Barat. Tepatnya di Kelurahan Lalampanua, Kecamatan Pamboang, Kabupaten Majene. Adapun fasilitas dalam objek wisata mangrove itu di antaranya jalan titian sepanjang 152 meter, empat unit gazebo, tanggul seluas 38 x 12 meter serta pos jaga yang menjadi pintu masuk ke kawasan objek wisata.",Setiap hari (08.00 - 17.00),Rp 15.000 - Rp 500.000,,,wisata air
Anjoro Pitu,,Anjoro Pitu merupakan salah satu wisata andalan di Sulawesi Barat. Wisata ini merupakan sebuah area perbukitan di mana wisatawan bisa menikmati pemandangan kota dari atas bukit. Wisatawan dapat melihat pemandangan matahari terbenam di sore hari dan keindahan pulo Karampuang dari puncak Anjoro Pitu,Setiap hari (24 jam),Rp3.000,,,pegunungan dan pedesaan
Pantai Lombang Lombang,,"Pantai Lombang-Lombang merupakan obyek wisata favorit di Kota Mamuju. Pantai yang terlihat masih alami ini sangat cocok anda pergunakan untuk santai dan menghilangkan rasa penat. Suasana alami yang terdapat pada pantai ini mungkin tidak akan anda temukan di pantai Sulawesi lainnya. Pantai Lombang-Lombang memiliki pasir hitam yang sangat halus yang membentang kurang lebih 5 km jauhnya. Perlu anda ketahui juga bahwa selain memiliki pasir hitam yang sangat halus, Pantai Lombang-Lombang ini juga memberikan ruang gerak bagi para pengunjung untuk melakukan berbagai aktivitas apapun di pantai ini.",Setiap hari (07.00 - 18.00),Rp5.000,,,wisata air
Pantai Palippis,,"Pantai Palippis dikenal dengan keindahan panorama alam laut yang sangat eksotis. Pantai ini menawarkan panorama keindahan pantai dengan laut lepas sebagai pemandangannya. Pantai Sulawesi Barat ini terletak di sisi sebelah barat Pulau Sulawesi. Berhadapan langsung dengan laut sebagai pemisah antara Pulau Kalimantan, Pulau Jawa, dan Sulawesi. Selain itu, daya tarik selain keindahan pantai dan pemandangan laut, di Pantai Palippis terdapat daya tarik lainnya seperti gua kelelawar dan hamparan tebing batu karang. Gua kelelawar tersebut berada di atas bukit yang membentang tidak jauh dari bibir pantai. Barisan tebing batu karang berada tidak begitu jauh dari mulut gua kelelawar.",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Dato Majene,,"Pantai Dato merupakan salah satu destinasi wisata yang sangat digemari oleh masyarakat di Majene, Sulawesi Barat (Sulbar). Pantai yang dikenal dengan pemandangan khas pasir putih dan tebing karang itu terletak di Lingkungan Pangale, Kelurahan Baurung, Kecamatan Banggae Timur.",Setiap hari (24 jam),Rp5.000,,,wisata air
Pantai Mampie,,"Pantai Mampie merupakan pantai yang berlokasikan di Polewali Mandar. Pantai satu ini tidak hanya memiliki pemandangan yang begitu mengagumkan. Pengunjung bisa menikmati beberapa wahana yang akan membuat liburan makin seru seperti mencoba perahu untuk menikmati keindahan pantai satu ini. Mengapung di tengah lautan sambil menikmati sepoinya angin tentunya menjadi hal yang mengasyikkan. Jika tidak ingin menaiki perahu, pengunjung bisa menjajal banana boat yang akan menantang adrenalin anda.",Setiap hari (24 jam),Rp3.000,,,wisata air
Gonda Mangrove Park,,"Gonda Mangrove Park merupakan wisata Taman Bakau yang terletak di Sulawesi Barat. Gonda Mangrove Park ini juga menawarkan pesona alam bawah lautnya yang tak boleh dilewatkan. Bagi pengunjung yang hobi snorkeling, bisa melihat hamparan terumbu karang dan juga ribuan ikan penghuni alam bawah laut Gonda Mangrove Park. Lewat kedalaman dua sampai tiga meter, pengunjung sudah dapat melihat terumbu karang serta ribuan ikan berenang di Gonda Mangrove Park ini.",Setiap hari (09.00 -17.00),Rp5.000,,,wisata air
Pantai Wisata Labuang,,"Pantai Labuang Nipaiya adalah salah satu objek wisata alam kepulauan selayar yang terletak di Desa Bongaiya, Kecamatan Bontomatene, Kabupaten Kepulauan Selayar. Kawasan wisata Pantai Labuang berada di dekat pemukiman warga setempat. Berjarak sekira 32 kilometer dari Kecamatan Polewali. Pantai ini memiliki jajaran batu karang yang besar. ",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Bahari Polewali,,Pantai Bahari Polewali merupakan pantai yang berlokasikan di Polewali. Pantai ini juga merupakan landmark di kota kabupaten tersebut. Di tempat ini pengunjung dapat menyaksikan terbenanmnya matahari (Sunset) sambil memilih suguhan wisata kuliner dengan berbagai pilihan.,Setiap hari (24 jam),Gratis,,,wisata air
Pantai Wisata Lapeo,,"Pantai Wisata Lapeo adalah pantai yang terletak di Polewali Mandar. Pantai ini memiliki fasilitas pondok kecil sederhana. Di pantai ini juga terdapat dapur untuk memasak, gazebo, minicafe, dan toilet.",Setiap hari (24 jam),Gratis,,,wisata air
Air Terjun Limbong Kamandang,,"Air Terjun Limbong Kamandang merupakan wisata alam yang berada di Sulawesi Barat. Bertolak 35 kilometer dari Kota Polewari Mandar, Air Terjun Limbong Kamandang membentang menawarkan pesona alamnya nan menakjubkan. Panorama alam di kawasan ini sangat asri dan natural. Udara yang sejuk teduhnya pepohonan semakin indah dengan adanya tirai air terjun yang menjulang setinggi sekitar 100 meter.",Setiap hari (24 jam),Gratis,,,wisata air
Air Terjun Tammasapi,,"Air Terjun Tamasapi merupakan destinasi wisata yang ada di Dusun Tamasapi, Desa Mamunyu, Kecamatan Mamuju, Kota Mamuju, Provinsi Sulawesi Barat. Dengan suasana alam yang masih asri, Air Terjun Tamasapi menawarkan pesona yang mengagumkan, kesejukan airnya yang menggoda untuk segera menikmatinya.",Setiap hari (24 jam),Rp5.000,,,wisata air
Air Terjun Indo Rannuang,,"Air Terjun Indo Rannuang merupakan destinasi wisata alam yang berada di salah satu provinsi baru di Indonesia, yaitu Sulawesi Barat. Destinasi wisata alam ini sangat cocok menjadi pilihan tempat berlibur untuk keluarga. Suasana lingkungannya yang masih alami, menjadikan tempat ini memiliki udara yang masih segar. Ditambah dengan pengunjung yang belum begitu ramai, menyebabkan tempat ini terasa damai dan jauh dari hiruk pikuk perkotaan.",Setiap hari (24 jam),Rp40.000,,,wisata air
Anjungan Pantai Manakarra,,"Pantai Manakarra atau Anjungan Pantai Manakarra merupakan sebuah lokasi favorit warga Mamuju untuk berkumpul bersama keluarga, teman atau pasangan. Disini pengunjung dapat melihat anjungan atau sebuah lapangan yang dibuat secara artistik dan dipakai sebagai tempat rekreasi warga Mamuju. Kemudian disini juga terdapat teluk yang merupakan bagian dari Pelabuhan Batu, yang menjadi pusat perhubungan di Kota Mamuju.",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Koa-koa,,"Pantai Koa-koa merupakan wisata yang berada di Desa Polewali. Pengunjung dapat menikmati pemandangan di alam terbuka dengan hamparan pasir putih sepanjang kurang lebih lima kilometer di Pantai Koa – koa. Tak hanya itu, tempat ini juga memiliki beberapa bangunan gasebo yang cantik untuk tempat beristirahat dengan keluarga saat berlibur ke tempat ini. Di tempat ini pengunjung juga bisa mengabadikan momen indah dengan sejumlah spot foto yang bagus dan tak kalah bersaing dengan pemandangan yang ada di pulau Bali. Selain itu, pantai ini juga mempunyai terumbu karang yang belum terjamah.",Setiap hari (24 jam),Gratis,,,wisata air
Bandar Udara Tampa Padang Mamuju,,"Bandar Udara Tampa Padang adalah bandar udara yang terletak di Kecamatan Kalukku, Kabupaten Mamuju, Sulawesi Barat. Bandar udara ini memiliki ukuran landasan pacu 2.500 × 45 m. Pengunjung dapat melihat-lihat pesawat dengan syarat mengikuti aturan dan ketentuan yang ada.",Setiap hari (24 jam),Gratis,,,wisata kota
Danau Sentarum,,"Danau Sentarum adalah danau musiman yang berada di Kapuas Hulu, Kalimantan Barat. Danau ini dipenuhi air selama 10 bulan setiap tahunnya, dan sisanya akan surut, membentuk kolam-kolam kecil yang berisi ikan-ikan kecil. Saat kemarau, Air Danau Sentarum memasok setengah dari aliran air Sungai Kapuas. Luas keseluruhan danau ini 132.000 Ha",Setiap hari (24 jam),Gratis,,,wisata air
Taman Nasional Gunung Palung,,"Taman Nasional Gunung Palung (TNGP) adalah taman nasional yang terletak di Kabupaten Kayong Utara dan Kabupaten Ketapang, Kalimantan Barat. TNGP mempunyai ekosistem yang dikatakan sebagai yang terlengkap di antara taman-taman nasional di Indonesia. Di kawasannya terdapat Gunung Palung yang mempunyai ketinggian 1.116 meter. Selain itu, TNGP juga adalah habitat bagi sekira 2.500 ekor orangutan. Bekantan adalah mamalia dengan jumlah terbesar di TNGP.Juga terdapat fauna langka, yaitu Kijang Mini. Kijang mini adalah salah satu hewan yang hanya ada di kawasan ini.",Setiap hari (08.00 - 17.00),Rp1.000,,,pegunungan dan pedesaan
Taman Nasional Betung Karihun,,"Taman Nasional Betung Kerihun (sebelumnya Gunung Bentuang) adalah taman nasional yang terletak di provinsi Kalimantan Barat, Indonesia. Di dalam hutan nasional ini, lebih kurang area sebanyak 65 persennya berupa hutan, yaitu hutan lindung, hutan konservasi, dan hutan produksi. Ratusan ribu penduduk Kapuas Hulu sangat bergantung terhadap kelestarian hutan, baik pemanfaatan hasil hutan bukan kayu, serupa gaharu, madu, maupun potensi satwa seperti ikan arwana, hingga potensi air serta wisata.",Setiap hari (08.00 - 16.00),Rp10.000,,,pegunungan dan pedesaan
Bukit Kelam,,"Gunung Kelam adalah gunung yang terletak di Kalimantan Barat. Gunung Kelam merupakan salah satu habitat yang dikenal paling penting di dunia untuk tanaman kantong semar, tampaknya menjadi rumah bagi 14 spesies yang berbeda, salah satunya yang endemik adalah (Nepenthes Clipeata) yang sampai saat ini dianggap menjadi yang paling terancam punah dari semua jenis kantong semar.  ",Setiap hari (24 jam),Rp15.000,,,pegunungan dan pedesaan
Pantai Batu Nenek Temajuk,,"Pantai Batu Nenek adalah salah satu pantai dari sekian banyak pantai di Desa Temajuk yang berbatasan dengan Malaysia di Kabupaten Sambas, Kalimantan Barat. Pantai ini memiliki batuan granit besar seperti pantai-pantai di Pulau Bangka dan Belitung. Uniknya di tengah-tengah batuan, ada tumbuhan seperti pohon kelapa. Saat surut, pengunjung bisa menaiki batuan granit ini, saat pasang agak sulit mencapai batuan granit dari pinggir pantai. Pantainya memiliki pasir yang lembut, namun hati-hati terhadap batu karang di bibir pantai.",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Bajau,,Bajau Beach merupakan lokasi wisata pantai yang menyajikan pemandangan laut berlatar bukit dan pegunungan. Berada dekat dengan beragam destinasi wisata lainnya membuat destinasi ini cukup populer. Kawasan semenanjung ini pun telah dilengkapi dengan berbagai sarana dan fasilitas pendukung aktivitas wisata.,Setiap hari (24 jam),Rp50.000,,,wisata air
Mimiland Batu Payung,,"Mimiland Batu Payung adalah tempat penginapan berlokasi di Dusun Teluk Suak, Desa Karimunting, Sungai Raya Kepulauan, Bengkayang, Kalimantan Barat. Tempat ini menyediakan berbagai sarana dan prasarana yang pastinya dapat membuat pengunjung merasa nyaman.",Setiap hari (07.00 - 17.00),Rp 5.000 - Rp 20.000,,,wisata kota
Hutan Wisata Baning,,"Hutan Wisata Baning terletak di antara dua wilayah kelurahan, yaitu Kelurahan Baning dan Kelurahan Tanjung Puri, Kecamatan Sintang, Kabupaten Sintang, Provinsi Kalimantan Barat. Karena terletak di Pusat Kota Sintang, akses untuk menuju ke hutan ini sangat mudah untuk dilalui. Hutan ini telah dikenal oleh banyak kalangan karena menjadi salah satu tempat wisata unggulan yang ada di Kota Sintang.",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Gerbang Pancur Aji Sanggau,,"Air Terjun Pancur Aji menawarkan sebuah pemandangan air terjun yang masih sangat alami , udaranya masih sangat segar karena jauh dari hruk pikuk kendaraan dan jauh dari polusi. Dinginnya air pegunungan gemericik air dan suara alam kental dan suasana yang masih alami yang bisa Anda rasakan disini. Pemandangan yang segar ini akan membuat betah berlama-lama di air terjun Pancur Aji.",Setiap hari (09.00 - 18.00),Rp6.000,,,wisata air
Pantai Temajuk,,Pantai temajuk merupakan objek wisata andalan di Kabupaten Sambas. Hal ini dikarenakan Desa Temajuk yang berada di pesisir utara kalimantan barat memiliki keindahan pantai yang tidak kalah dengan pantai yang ada di daerah lain. Pantai Temajuk akan terlihat lebih eksotis saat senja mulai menyapa. Menjelang senja pemandangan sunset dari pantai Temajuk akan membuat kita sekejap terdiam dan lebih memilih merenung sejenak untuk menikmatinya momen tenggelamnya matahari. ,Setiap hari (24 jam),Rp20.000,,,wisata air
Pantai Kijing,,"Pantai Kijing terletak di Desa Sungai Kunyit Kecamatan Sungai Kunyit Kabupaten Pontianak provinsi Kalimantan Barat. Pantai ini memiliki benyak keindahan salah satunya pesisir pantai yang penuh pohon kelapa serta pasir putihnya yang landai. Selain itu, pantai ini juga dihiasi bukit serta pepohonan yang sejuk. Ada bukit yang mengahdap ke pantai, pepohonan kelapa yang berjajar rapi dan tersedianya lapangan gastrek menjadikan pantai ini sebagai objek wisata primadona di kabupaten Pontianak",Setiap hari (24 jam),Rp10.000,,,wisata air
Pantai Pulau Datok,,"Pantai Pulau Datok adalah resort baru di daerah Kayong Utara. Tempat ini menyuguhkan banyak fasilitas untuk pengunjung seperti rumah makan, parkiran, toilet dan lain sebagainya.",Setiap hari (07.00 - 23.00),Rp5.000,,,wisata air
Air Terjun Banangar,,"Air terjun Melanggar atau sering disebut juga Banangar, Mananggar, dan Menaggar adalah patahan sungai landak yang menjadi wisata alam berupa air terjun yang berada di Dusun Perbuah, Desa Merayuh,kecamatan Air Besar, kabupaten Landak. Letak air terjun ini berada di hulu Sungai Landak, sekitar 290 kilometer arah timur laut Pontianak, ibu kota provinsi Kalimantan Barat. Air terjun Melanggar memiliki ketinggian sekitar 60 meter dan lebar 60 meter yang menyajikan pesona alam yang sangat indah.",Setiap hari (24 jam),Gratis,,,wisata air
Pulau Randayan,,Pulau Randayan adalah salah satu pulau yang berada di kepulauan Lemukutan Besar. Memiliki keindahan alam sekitar yang menawan dan bawah laut yang masih alami dan memesona. Bagian Timur Pulau Randayan memiliki hamparan pasir putih. Sedangkan di bagian barat terdiri dari pantai yang berbatu karang. Air laut disekitar pulau cukup jernih dan tidak terlalu dalam.,Setiap hari (24 jam),Rp20.000,,,wisata air
Taman Bougenville,,"Taman Bougenville adalah taman yang dipenuhi banyak bungan Bougenville. Karena hal inilah, tempat wisata ini terlihat sangat indah dan cantik serta pastinya bagus untuk dijadikan sebagai spot foto.",Setiap hari (08.00 - 18.00),Rp10.000,,,wisata kota
Pantai Pasir Panjang,,"Pantai Pasir Panjang adalah objek wisata alam berupa pantai yang berpasir putih dan panjang yang terletak di Kecamatan Tujuh Belas, Kota Singkawang, Kalimantan Barat. Pantai ini membentang sepanjang 3 kilometer, sehingga dinamakan pantai Pasir Panjang. Pantai ini memiliki pasir putih yang cantik dan ombak yang tenang. Pantai ini dapat dicapai dengan kendaraan selama 20 menit (17 km) dari pusat Kota Singkawang ke arah Kota Pontianak.",Setiap hari (08.00 - 18.00),Rp 10.000 - Rp 20.000,,,wisata air
Bukit Jamur,,"Bukit Jamur adalah bukit yang terletak di Kabupaten Bengkayang, letaknya berada dipusat kota. Ada dua jalur untuk menuju ke bukit ini, kalian bisa melalui Jalan Swadaya yang medanya tangga semen dan tanah dan Jalan Gereja yang sebagian besar medannya berbatu. Perjalanan dari Kota Pontianak kekaki bukit memerlukan waktu sekitar 4 jam dan mendaki sekitar 1 jam 15 menit (ini paling lama loh ya) untuk jalur sendiri sudah cukup mudah karena banyak pemandu cilik yang akan mengantarkan kalian sampai ke puncak bukit. Disini kalian bisa melihat kota Bengkayang dari ketinggian dan suasana malam yang sangat indah jika hari sedang cerah.",Setiap hari (07.00 - 17.00),Rp12.000,,,pegunungan dan pedesaan
Wisata Air Terjun Riam Budi,,"Air terjun (riam budi) merupakan salah satu tujuan wisata yang ramah anak dan sangat terjangkau, sehingga menjadi salah satu tujuan wisata di kalimantan barat. riam budi sendiri telah disentuh oleh pambangunan penunjang wisata dari pemerintah Kabupaten Bengkayang, dengan membangun fasilitas-fasilitas yang ada di riam budi, seperti gajebo, kamar mandi, dan jalan untuk akses ke riam budi. salah satu yang manjadikan daya tarik tersendiri adalah riam budi wisata bengkayang terletak di kaki gunung bawang bengkayang.",Setiap hari (24 jam),Gratis,,,wisata air
Pantai Kura-kura,,"Pantai Kura-kura merupakan pantai yang berada di Lombok Timur sisi paling selatan dan menghadap langsung Samudera Hindia. Garis pantai dari Pantai Kura Kura cukup panjang yakni mencapai kurang lebih 1 km dari timur ke barat. Panorama pantai ini didominasi oleh pasir putih, ombak biru, batu karang dan juga perbukitan hijau ladang warga. Suasana sepi dari pantai ini seringkali dimanfaatkan pengunjung untuk kegiatan seperti berkemah atau sekedar menenangkan diri. Pemandangan eksotis Pantai Kura-kura dapat menghilangkan penat Anda setelah lama melakukan rutinitas.",Setiap hari (24 jam),Rp 10.000 - Rp 15.000,,,wisata air
Pulau Simping,,"Pulau Simping adalah sebuah pulau di Singkawang Selatan, Singkawang, Kalimantan Barat, Indonesia. Pulau Simping terdiri dari pasir dan batu, dan beberapa pohon diatasnya. Di dalam pulau ini terdapat kelenteng disinilah para penghuni yang keturunan Tionghoa memanjatkan doa. Jarak dari kota Pontianak ke Pulau Simping kira-kira 2-3 Jam",Setiap hari (24 jam),Rp25.000,,,wisata air
Balai Taman Nasional Sebangau Kalimantan,,"Taman Nasional Sebangau merupakan salah satu taman nasional yang terletak di Kalimantan Tengah, Indonesia. Ekosistem rawa gambut di dalam Taman Nasional Sebangau dimanfaatkan untuk pelestarian lingkungan secara alami. Hutan rawa gambut yang ada di dalamny berperan sebagai penyerap dan penyimpan karbon dalam jumlah besar. Selain itu, ekosistem ini juga menjadi bagian dari sistem pengaturan tata air di Kabupaten Katingan",Setiap hari (08.00 - 18.00),Rp5.000,,,museum
Sungai Arut,,"Sungai Arut adalah sebuah sungai yang mengalir di wilayah Kabupaten Kotawaringin Barat, Kalimantan Tengah, Indonesia, sekitar 700 km di timur laut ibu kota Jakarta. Sungai ini merupakan anak Sungai Lamandau. Sungai Arut, seperti sungai Lamandau, dapat diarungi ke hulu dengan speedboat yang digunakan oleh para wisatawan untuk mengunjungi daerah suku Dayak.",Setiap hari (24 jam),Gratis,,,wisata air
Taman Nasional Tanjung Puting,,"Taman Nasional Tanjung Puting adalah sebuah taman nasional yang terletak di semenanjung barat daya provinsi Kalimantan Tengah. Taman Nasional ini memiliki beberapa tipe ekosistem, yaitu hutan tropika dataran rendah, hutan tanah kering (hutan kerangas), hutan rawa air tawar, hutan rawa gambut, hutan bakau atau mangrove, hutan pantai, dan hutan sekunder.",Senin - Jum'at ( 08.00 - 16.00),Rp 5.000 - Rp 150.000,,,pegunungan dan pedesaan
Wisata Alam Jurung Tiga,,"Taman Wisata Hutan (TWH) Jurung Tiga adalah taman yang terletak di Desa Pasir Panjang, Kecamatan Arut Selatan beberapa waktu lalu telah dibuka untuk umum. Taman ini masih sangat alami. Pemandangan disini juga indah serta dapat dijadikan sebagai tempat  wisata edukasi.",Setiap hari (24 jam),Rp10.000,,,pegunungan dan pedesaan
Camp Leakey,,"Camp Leakey merupakan pusat rehabilitasi orang utan yang berdiri di atas lahan seluas 45.907 Ha. Saat ini pihak balai TNTP bekerja sama dengan Orangutan Foundation Internasional di areal Camp Leakey mempunyai tugas merehabilitasi dan memantau perilaku orangutan hasil sitaan warga untuk dapat kembali diliarkan. Para orangutan sitaan ini diharapkan dapat kembali hidup liar di habitat asli mereka. Untuk mencukupi pakan orangutan, Camp Leakey memiliki program pemberian pakan tambahan yang biasa di sebut feeding. Kegiatan feeding ternyata menjadi daya tarik wisatawan tersendiri, para wisatawan dapat mengabadikan tingkah yang lucu dari orangutan di atas platform feeding.",Setiap hari (24 jam),Gratis,,,pegunungan dan pedesaan
Taman Kota Sampit,,"Taman Kota Sampit adalah ruang rekreasi terbuka di Sampit, Ibukota Kabupaten Kotawaringin Timur. Terletak di jantung kota, di sini merupakan pusat kegiatan rekreasi dan hiburan bagi masyarakat sekitar. Namun wisatawan dari luar kota maupun mancanegara juga kerap menyambangi taman kota seluas setidaknya 2,5 Ha ini. Hal itu karena keberadaan bangunan ikonik berupa tugu setinggi kurang lebih 5 meter. Tugu tersebut memiliki ornament khas suku Dayak lengkap dengan perisai dan motif khas Dayak.",Setiap hari (24 jam),Gratis,,,wisata kota
Pondok Tanggui,,"Pondok Tanggui merupakan tempat feeding camp kedua setelah Tanjung Harapan yang juga merupakan tempat rehabilitasi bagi orangutan. Specialnya di Pondok Tangui ini tidak hanya orangutan saja yang bisa kita temui, melainkan juga berbagai macam tumbuhan langka seperti salah satunya adalah kantong semar.",Setiap hari (08.00 - 11.30),Gratis,,,wisata kota
Sungai Mentaya,,"Sungai Mentaya adalah sebuah sungai yang terletak di Kota Sampit Provinsi Kalimantan Tengah, Indonesia. Muara sungai ini terletak di Teluk Sampit di Laut Jawa tepat pada titik koordinat 2°28′0″LU,113°2′32″BT. Dalam Bahasa Dayak Ot Danum, Sungai Mentaya itu disebut ""batang danum kupang bulan"".",Setiap hari (24 jam),Gratis,,,wisata air
Borneo Orangutan Survival Foundation (BOSF) Nyaru Menteng,,Borneo Orangutan Survival Foundation adalah organisasi non-pemerintah nirlaba Indonesia yang didirikan oleh Dr. Willie Smits pada tahun 1991 dan didedikasikan untuk konservasi orangutan Kalimantan yang terancam punah dan habitatnya melalui keterlibatan masyarakat setempat.,Senin- Jum'at (09.00 -17.00),Rp10.000,,,pegunungan dan pedesaan
Taman Pasuk Kameluh,,"Taman Pasuk Kameluh atau Taman Pasuk Kameloh merupakan sebuah taman yang berada tak jauh dari Sungai Kahayan. Taman tersebut merupakan salah satu tempat favorit warga Palangkaraya menghabiskan waktu bersama. Layaknya seperti sebuah taman pada umumnya, Taman Pasuk Kameluh selalu ramai dikunjungi ketika sore menjelang, banyak keluarga yang mengantar anak-anak untuk bermain di sekitar taman.",Setiap hari (24 jam),Gratis,,,wisata kota
