Destinasi,Detail,Preferensi 2
RTH Putri Kaca Mayang,"Taman ini memiliki banyak fasilitas lengkap untuk Anda yang yang ingin rekreasi bersama keluarga. Selain keluarga di taman ini bisa Anda habiskan waktu bersama teman dan pasangan. Rumah Taman Hijau ini menyediakan fasilitas bagi Anda yang ingin hanya sekedar nongkrong, jogging, duduk sambil menikmati sore, Ada kolam renang, dan wahana bermain lainnya untuk anak-anak.",wisata kota
Taman Kota Pekan Baru,"Taman Kota Pekanbaru ini selain dijadikan tempat wisata rekreasi, ada juga wisata kuliner khas Pekanbaru. Di sudut taman bisa Anda gunakan untuk berkumpul bersama teman-teman Anda sambil menikmati jajanan yang ramai dijajakan di pinggir taman.",wisata kota
Tugu Juang,"Istimewanya di atas Tugu ini ada patung seorang pria berseragam yang memegang bambu runcing, itulah kenapa diberikan nama Tugu Juang. Tempat ini merupakan salah satu tempat wisata di Jambi yang mengisahkan perjuangan saat melawan penjajah.",wisata kota
Tugu Pers,Tugu ini dibuat untuk memperingati kebebasan pers di Kota Jambi. Destinasi wisata ini sangat pas untuk Anda nongkrong bersama teman-teman Anda. Karena di sekitar tempat ini banyak dijajakan kuliner khas Jambi.,wisata kota
Air Terjun Pancaro Rayo,"Air Terjun Pancaro Rayo adalah salah satu Air Terjun tertinggi di Desa Koto Tuo Kecamatan Keliling Danau, Kabupaten Kerinci, Provinsi Jambi, yakni dengan ketinggian kurang lebih 150 meter",wisata air
Museum SiGinjai,"Museum Siginjai Jambi merupakan museum yang menyimpan berbagai koleksi benda-benda bersejarah, benda seni tradisi serta sejumlah instalasi edukasi pewarisan budaya lainya.",situs bersejarah dan religi
Jambi Paradise,"Taman 8 hektare yang dikelilingi air dengan gazebo piknik, labirin, naik perahu, jalan setapak & flying fox.",wisata kota
Candi Muaro Jambi,"Candi Muaro Jambi adalah sebuah kompleks percandian agama Hindu-Buddha terluas di asia tenggara, dengan luas 3981 hektar. yang kemungkinan besar merupakan peninggalan Kerajaan Sriwijaya dan Kerajaan Melayu.",situs bersejarah dan religi
Menara Gentala Arasy,"Museum Menara Gentala Arasy adalah museum yang menggambarkan perkembangan Islam di Provinsi Jambi. Peresmian museum diselenggarakan pada tanggal 3 September 2014 oleh Menteri Agama Indonesia, Lukman Hakim Saifuddin.",wisata kota
Hesti's Garden,Nuansa alam di tempat ini sangat memukau. Dimana tempat wisata ini sangat Hits dikalangan pemuda dan pemudi. Taman ini dipenuhi oleh padang bunga yang indah. Selain itu taman ini juga menyediakan banyak spot foto yang bagus dan dijamin Anda tidak akan menyesal. Taman bunga ini menyediakan puluhan bunga warna-warni yang sangat cantik dan menambah indahnya taman ini. Di setiap sudut taman menyajikan aneka keindahan untuk dinikmati.,wisata kota
Taman Tanggo Rajo,"Kawasan Tanggo Rajo memang cukup strategis dan gampang dicari. Berada persis di Depan Rumah Dinas Gubernur Jambi di bilangan pasar Jambi, kawasan ini sudah menjadi kawasan wisata kuliner untuk warga Kota Jambi. Kawasan wisata di tepi sungai terpanjang di Sumatera ini menawarkan wisata pemandangan dipadu dengan kuliner yang pantang dilewatkan. Di sini Anda bisa menikmati matahari terbenam sembari menikmati berbagai jajanan. Jajanan favoritnya adalah jagung bakar. Lokasi ini mulai ramai dari sore hingga malam hari. Pada akhir pekan, banyak pula pemancing yang mengunjunginya. Selain itu, tempat ini juga sering dijadikan sebagai tempat untuk membuka event-event penting yang diselenggarakan atau yang digelar di Kota Jambi.",wisata kota
Taman Telun Berasap,"Taman Telun Berasap terdiri dari kawasan air terjun setinggi 50 meter dan konservasi yang masih menjadi bagian dari Gunung Kerinci. Di tempat ini Anda bisa menikmati semilir kabut yang terasa dingin serta menyaksikan jatuhnya air menimpa bebatuan yang menimbulkan bunyi alami menenangkan. Kawasan sekitarnya masih berupa hutan lebat, butuh perjuangan ekstra untuk sampai ke sini.",wisata kota
Geopark Merangin,Kawasan GeoPark Merangin yang terletak di pegunungan ini menjadi area arung jeram dan olahraga alami yang cukup menantang. Bagi Anda yang senang dengan jenis olahraga ekstrim dapat mencoba trek di tempat ini.,pegunungan dan pedesaan
Tugu Keris Siginjai,"Tugu Keris Siginjai adalah sebuah tugu atau monumen yang merupakan ikon dari Kota Jambi. Bentuknya menyerupai keris siginjai yakni keris kerajaan Jambi. Tugu ini memiliki tinggi sekitar 9 meter dan tinggi keseluruhannya sekitar 28 meter. Letaknya tepat berada dipusat perkantoran Wali Kota Jambi, Kota Baru.",wisata kota
Taman Wisata Kampoeng Radja,"Taman hiburan dengan wahana pasar malam & taman air dengan kolam renang, serta penyewaan perahu & kereta.",wisata kota
Masjid Agung Al-Falah,"Masjid Agung Al-Falah merupakan masjid terbesar di Jambi, Indonesia. Masjid ini juga dikenal sebagai Masjid 1000 Tiang, meskipun jumlah tiangnya hanya 256.",situs bersejarah dan religi
Museum Perjuangan Rakyat Jambi,"Museum Perjuangan Rakyat Jambi merupakan salah satu museum di Indonesia yang terletak di Kota Jambi, Provinsi Jambi.",situs bersejarah dan religi
Taman Mayang Mangurai,"Taman Mayang Mangurai dengan bangunan Rumah Adat Jambi, Kajanglako. Didalamnya terdapat koleksi peralatan pengantin Jambi dan pakaian adat kabupaten kota se-Provinsi Jambi.Taman Mayang Mangurai berada Jl. Atmadibrata, Kecamatan Telanaipura, 6 km dari pusat kota Taman yang penuh pepohonan dengan bangunan Rumah Adat Jambi, berada diatas area seluas 0,75 hektar.",wisata kota
Masjid Raya Pondok Tinggi,"Masjid Agung Pondok Tinggi adalah masjid yang terletak di Kelurahan Pondok Tinggi, Kecamatan Sungai Penuh, Kota Sungai Penuh, Provinsi Jambi. Bagian utara berbatasan dengan jalan raya dan bagian selatan berbatasan dengan perpustakaan. Sedangkan bagian timur dan barat berbatasan dengan rumah penduduk",situs bersejarah dan religi
Pantai Sungai Suci,"Pantai Sungai Suci adalah sebuah pantai yang menawarkan keindahan layaknya Tanah Lot di Bali. Di sana Kamu bisa menguji adrenalin dengan melewati sebuah jembatan kembar yang menghubungkan sebuah pulau kecil dengan Pantai Sungai Suci. Setelah melewati jembatan tersebut, Kamu akan disuguhkan dengan pemandangan debur ombak yang menghantam bebatuan serta hijaunya pepohonan.",wisata air
Wisata Mangrove Bengkulu,"Terletak pada sebuah pulau sebelah barat Sumatra dengan jarak kurang lebih 20 kilometer dari jantung Kota Bengkulu, hutan tersebut merupakan salah satu kawasan konservasi alam. Menampilkan pemandangan pepohonan bakau, tempat tersebut nampak cukup eksotis untuk dikunjungi oleh siapapun yang hendak berwisata di provinsi tersebut. Untuk menjelajahinya, pengunjung dapat menggunakan perahu nelayan yang disewakan. Pemandangan hijaunya hutan mangrove, tidak akan mengecewakan wisatawan yang singgah. Selain itu, tidak jauh dari sana juga terdapat hamparan pantai pasir putih yang nampak indah. Pulau ini memang cocok untuk tempat berfoto menangkap momen yang ada.",wisata air
Bukit Kaba,"Destinasi yang satu ini akan membawa Kamu melihat indahnya kawah aktif yang sangat cantik dari atas bukit. Tersedia dua cara untuk bisa mencapai puncak bukit ini, yaitu dengan menyewa ojek motor dan yang kedua dengan berjalan kaki. Selama perjalanan, Kamu akan disuguhkan dengan hijaunya perkebunan sayur serta sungai dengan aliran air yang jernih. Kicauan burung yang terdengar juga akan menemani perjalanan Kamu.",pegunungan dan pedesaan
"Goa Kacamata Lebong
","Tempat ini dahulu merupakan salah satu penambangan emas pada masa pemerintahan Hindia Belanda. Setelah hasil alamnya habis, tempat tersebut ditinggalkan. Objek ini berada di tebing berbatu dengan 2 bibir goa sehingga nampak seperti kacamata. Oleh karena itu, tempat tersebut dinamakan demikian. Berada di daerah Desa Lebong, destinasi ini memberikan pengalaman berlibur yang berbeda. Pengunjung dapat menikmati sebuah area tambang yang sudah tidak dipakai dengan berbagai pahatan di dalamnya karena proses eksplorasi. Waktu yang direkomendasikan untuk singgah ke sana yakni sekitar pukul 9 pagi karena sinar matahari dapat menerangi bagian dalamnya.",pegunungan dan pedesaan
Benteng Marlborough,"Benteng Marlborough (Inggris: Fort Marlborough) adalah benteng peninggalan Inggris di Kota Bengkulu. Benteng ini didirikan oleh East India Company (EIC) tahun 1714-1719 di bawah pimpinan gubernur Joseph Callet sebagai benteng pertahanan Inggris.[1] Benteng ini didirikan di atas bukit buatan, menghadap ke arah Kota Bengkulu dan memunggungi Samudra Hindia. Benteng ini pernah dibakar oleh rakyat Bengkulu; sehingga penghuninya terpaksa mengungsi ke Madras. Mereka kemudian kembali tahun 1724 setelah diadakan perjanjian. Tahun 1793, serangan kembali dilancarkan. Pada insiden ini seorang opsir Inggris, Robert Hamilton, tewas. Dan kemudian pada tahun 1807, residen Thomas Parr juga tewas. Keduanya diperingati dengan pendirian monumen-monumen di Kota Bengkulu oleh pemerintah Inggris.",situs bersejarah dan religi
Rumah Bekas Kediaman Bung Karno,"Presiden pertama Indonesia pernah diasingkan ke provinsi ini mulai tahun 1938 hingga 1942 setelah menyelesaikan pengasingannya di Flores. Rumah yang dipakai oleh Ir. Soekarno tersebut merupakan bangunan dengan kombinasi gaya China dan juga Eropa. Rumah tersebut nampak indah dan dapat memberikan pengalaman liburan klasik yang unik. Berlokasi di daerah Anggut Atas, pengunjung akan sangat mudah mengaksesnya karena masih berada di area perkotaan.

",situs bersejarah dan religi
Kebun Teh Kabawetan,Kebun teh yang berada di ketinggian sekitar 600-1000 mdpl ini menawarkan pemandangan pegunungan yang hijau serta deretan tanaman  teh yang asri dan elok. Destinasi ini bisa membuat refresh pikiran Kamu. Di sana Kamu bisa berfoto dengan latar belakang barisan teh yang hijau. Untuk mengisi perut setelah asyik berkeliling kebun Kamu bisa mampir ke warung-warung kecil yang ada di sekitar destinasi wisata ini.,pegunungan dan pedesaan
Danau Nibung,"Danau Nibung merupakan sebuah danau yang berada di kawasan hutan lindung, sehingga udara di sana sudah pasti segar. Kamu bisa berkeliling danau dengan menggunakan perahu, sembari menikmati keindahan yang ada. Fasilitas yang bisa Kamu peroleh di sana seperti area parkir, gazebo, wahana air, spot-spot foto yang instagramable, villa, mushola serta warung-warung makan untuk mengenyangkan perut Kamu.",wisata air
Pantai Linau,"Dengan bentuknya yang memanjang, membuat provinsi di Pulau Sumatera tersebut memiliki garis pantai yang cukup panjang. Dengan kondisi seperti itu, terdapat banyak pantai-pantai indah di sana. Salah satunya yaitu Pantai Linau yang berada di Kabupaten Kaur. Tempat ini menampilkan sebuah pemandangan indah pasir putih seperti halnya destinasi dunia yang mengagumkan. Selain itu, daya tarik lain dari objek wisata yang satu ini yakni deretan batuan karang di bawah laut sekitarnya masih nampak asri nan alami. Airnya yang nampak jernih terlihat bening kebiru-biruan membuat penampakan dasar lautnya dapat dilihat oleh mata telanjang. Wisatawan juga dapat merasakan santapan makanan laut terutama gurita yang dijajakan di sana.

",wisata air
Taman Nasional Way Kambas,"Taman Nasional Way Kambas adalah sebuah taman nasional seluas 1.300 kilometer persegi di provinsi Lampung, Sumatera bagian selatan, Indonesia. Terdiri dari hutan rawa dan hutan hujan dataran rendah, sebagian besar merupakan pertumbuhan sekunder akibat penebangan ekstensif pada tahun 1960-an dan 1970-an. Meskipun populasinya menurun, taman ini masih memiliki beberapa harimau sumatera, gajah sumatera, dan badak sumatera yang terancam punah. Ini juga menyediakan pengamatan burung yang sangat baik, dengan bebek kayu bersayap putih yang langka di antara lebih dari 400 spesies yang ada di taman. Ancaman terhadap taman ini adalah perburuan liar dan hilangnya habitat akibat pembalakan liar. Upaya konservasi antara lain patroli dan pendirian Suaka Badak Sumatera dan Pusat Konservasi Gajah. Pada tahun 2016, Way Kambas secara resmi dinyatakan sebagai Taman Warisan ASEAN.",wisata kota
Taman Nasional Bukit Barisan Selatan,"Taman Nasional Bukit Barisan Selatan adalah sebuah taman nasional di Sumatera, Indonesia. Taman yang terletak di sepanjang pegunungan Bukit Barisan, memiliki luas total 3.568 km², dan mencakup tiga provinsi: Lampung, Bengkulu, dan Sumatera Selatan. Bersama dengan Taman Nasional Gunung Leuser dan Kerinci Seblat membentuk Situs Warisan Dunia, Warisan Hutan Hujan Tropis Sumatera.",wisata kota
Puncak Mas,"Puncak Mas Lampung menjadi spot terbaik bagi mereka yang sedang bingung mencari tempat wisata Lampung, yang cocok sebagai destinasi wisata keluarga saat liburan tiba. Puncak Mas Lampung menjadi lokasi terbaik untuk melepas penat dari setumpuk pekerjaan yang tidak ada habisnya. Udara, dan pemandangan di lokasi tersebut memberikan nuansa nyaman bagi para pengunjung yang datang.",pegunungan dan pedesaan
Water Park Lembah Hijau,"Taman Wisata Lembah Hijau Lampung adalah destinasi wisata keluarga yang tak pernah sepi dikunjungi wisatawan. Terletak di Bandar Lampung, tempat ini menawarkan sarana edukasi sekaligus rekreasi alam di lahan seluas 30 hektar. Keindahan alam berpadu dengan wahana-wahana menarik di tempat ini tak berhenti memanjakan pengunjung. Terdapat banyak wahana yang tersedia di objek wisata ini. Ada wahana air, outbound, tempat berkemah, wahana permainan, hingga water park. Namun, salah satu yang paling digemari di sini adalah Taman Satwa. Di taman ini, pengunjung akan menyaksikan 465 satwa dari 65 jenis binatang.",wisata air
Menara Siger,"Menara Siger, yang dalam bahasa Indonesia dikenal sebagai Menara Siger, adalah sebuah menara yang merupakan titik nol di Sumatera bagian selatan. Terlihat jelas saat memasuki pelabuhan Bakauheni, dan sudah menjadi ciri khas pintu gerbang provinsi Lampung. ""Siger"" mendapatkan namanya dari topi adat tradisional untuk pengantin dalam budaya Lampung. Menara ini berwarna kuning dan merah, melambangkan warna emas dari topi adat pengantin wanita. Menara ini juga berbentuk mahkota dan terdiri dari sembilan seri yang melambangkan sembilan bahasa Lampung. Bangunan ini juga dihiasi dengan Tapis, kain tradisional Lampung. Diresmikan oleh Gubernur Provinsi Lampung, Sjachroedin ZP Pada pembukaan, gubernur masuk ke menara bersama dengan duta besar dari Kroasia, Sri Lanka, Jepang, Palestina, Afghanistan, Singapura,",wisata kota
Air Terjun Curup Gangsa,"Curup Gangsa, salah satu objek wisata air terjun yang sangat indah di Kabupaten Way Kanan, Lampung, tetapi masih banyak yang belum mengetahuinya. Bagi para pengunjung, objek wisata ini merupakan surga destinasi yang tersembunyi yang terletak di Lampung. Sepanjang perjalanan, Anda akan menemukan banyak pepohonan rimbun yang menyejukan mata seperti perkebunan kopi, lada dan lain-lain.",wisata air
Museum Lampung,"Museum Tanah Lampung atau Museum Lampung, adalah sebuah museum yang terletak di Kota Bandar Lampung, provinsi Lampung, Indonesia. Beralamat di Jalan ZA Pagar Alam No.64 Bandar Lampung. Museum ini merupakan museum pertama dan terbesar di provinsi Lampung dan merupakan kebanggaan pemerintah provinsi Lampung.",situs bersejarah dan religi
Rumah Adat Jajar Intan,"cagar budaya Rumah Adat Jajar Intan. Rumah-rumah panggung dengan ornamen khas adat Lampung ini berdiri kokoh dan sangat terawat. Tempat ini biasanya digunakan untuk upacara adat atau begawi oleh masyarakat Lampung. Rumah panggung ini dibangun pada tahun 1998 dengan filosofi yang sama dengan rumah jaman terdahulu, dimana masyarakat lampung masih tinggal di hutan. Rumah kayu dibangun dengan panggung, atau istilahnya rumah panggung, bertujuan untuk menghindari hewan buas seperti harimau masuk ke dalam rumah.",situs bersejarah dan religi
Museum Nasional Ketransmigrasian Lampung,"Museum Nasional Ketransmigrasian ini terletak 20km dari Bandar Lampung dengan waktu tempuh jalur darat selama 30 menit. Lokasi tepatnya berada di Kabupaten Pesawaran. Merupakan museum transmigrasi pertama dan satu-satunya di dunia, museum ini memberikan informasi sejarah mengenai transmigrasi di Indonesia pada jaman penjajahan kolonial Belanda pada tahun 1905.",situs bersejarah dan religi
Alam Wawai Eco Park,"Alam Wawai Eco Park buka mulai pukul 10 pagi sampai 5 sore. Taman ini dikenakan tiket masuk sebesar 20 ribu untuk satu orang pengunjung. Lokasinya berada di dekat Taman Lembah Hijau. Tepatnya berlokasi di Tanjung Karang Barat, Bandar Lampung. Taman ini merupakan tempat terbaik untuk menikmati betapa indahnya kota Bandar Lampung dari atas ketinggian. Menarinya lagi pemandangan yang disuguhkan tidak hanya keindahan kota, melainkan juga view yang menghadap lautan. Disediakan fasilitas berkemah untuk para pengunjung yang ingin bermalam di Alam Wawai Eco Park.",pegunungan dan pedesaan
Bukit Sakura Kemiling,Bukit Sakura Kemiling merupakan taman yang ada di ketinggian. Tentu pemandangan yang disuguhkan yaitu latar belakang kota Bandar Lampung yang terlihat bercahaya pada malam hari. Taman keren yang satu ini sangat cocok untuk dijadikan spot foto. Itu karena berbagai fasilitas spot foto telah ada.,pegunungan dan pedesaan
Lampung Elephant Park,"Taman yang berada di tengah kota dekat Bundaran Gajah ini masih tergolong baru karena belum lama diresmikan oleh Gubernur Lampung. Apabila dilihat-lihat, Lampung Elephant Park mirip dengan Taman Safari di Bogor. Selain lokasinya yang strategis, juga tidak dikenakan biaya masuk.",wisata kota
Taman Purbakala Pugung Raharjo,"Situs Purbakala Pugung Raharjo atau sering disebut Taman Purbakala Pugung Raharjo merupakan situs arkeologi yang terletak di Desa Pugung Raharjo, Kecamatan Sekampung Udik, Kabupaten Lampung Timur, Provinsi Lampung, Indonesia.",wisata kota
Kebun Raya Liwa,Kebun Raya Liwa adalah salah satu destinasi wisata andalan Kabupaten Lampung Barat. Bisa masuk ke dalam list tempat yang bisa kamu kunjungi saat liburan ke Liwa. Bisa melihat banyak jenis tanaman di sini. Dan tentu saja bisa foto-foto seru yang kemudian bisa kamu unggah ke akun media sosialmu.,wisata kota
Puncak Desa Wisata Pujo Rahayu,"Taman Bukit Raya (TABURA) Pelayangan adalah sebuah destinasi wisata baru yang terletak di ujung kulon Desa Pujorahayu Kecamatan Negeri Katon Provinsi Lampung.Bukit Pelayangan awalnya hanyalah sebuah Perbukitan yang gersang,.Dengan kemampuan materi dan pemikiran seadanya, Pemerintah Desa dan BPD membentuk sebuah organisasi kecil POKDARWIS untuk menyulap tempat tersebut menjadi destinasi wisata yang menarik.Diawal tahun 2018 tempat tersebut benar-benar telah disepakati untuk menjadi tempat wisata.",pegunungan dan pedesaan
Pulau Penyengat,"Masuk dalam jajaran calon situs warisan oleh UNESCO, Pulau Penyengat juga menjadi objek wisata andalah Tanjung Pinang. Terletak di tengah laut, Anda harus menyewa perahu ataupun mengikuti paket tur untuk bisa sampai ke Pulau Penyengat. Disana Anda akan menemukan banyak peninggalan yang berasal dari berbagai pemerintahan yang dulunya berkuasa di Pulau Penyengat, diantaranya Kesultanan Johor, Siak, Lingga, Pahang, hingga Kesultann Riau itu sendiri.",wisata air
Vihara Seribu Wajah,"Jika mengunjungi Tanjung Pinang, jangan lupa sempatkan untuk mengunjungi vihara ini. Tak perlu khawatir, vihara ini dibuka untuk umum dan bisa di datangi oleh pemeluk agama lain. Arsitekturnya menarik dengan bentuk bangunan yang menyerupai tempat ibadah China. Yang menarik dari objek wisata ini adalah adanya 500 patung batu yang ditampilkan di halaman vihara. Patung-patung tersebut merupakan hibah dari pengusaha China yang namanya dipahat dalam bagian keterangan patung.",situs bersejarah dan religi
Sun Te Kong Temple,"Klenteng ini menjadi tempat peringatan kegiatan besar umat Tionghoa. Letaknya dekat tepi pantai Senggarang dimana banyak ornamen khas Tionghoa yang menghiasi. Bangunan megah ini memiliki tiga atap menjulang dan menjadi klenteng terbesar di Senggareng. Klenteng Sun Tekong bermakna dewa bagi langit. Masih sering dijadikan pusat ibadah. Klenteng ini diperkirakan telah berdiri sejak 1880. Selain Klenteng Sun Tekong, terdapat 2 klenteng lainnya. Jika maknanya disatukan, ketiga klenteng bermakna bumi, laut, dan langit. Klenteng ini juga dijadikan tempat perayaan hari raya Imlek.",situs bersejarah dan religi
Taman Tepi Laut,"Tempat wisata ini merupakan daerah pesisir Tanjung Pinang yang berada di pinggir laut. Jika Anda mengunjungi tempat ini, Anda bisa langsung berhadapan dengan ombak laut Samudera Hindia. Selain menikmati deburan ombak, Anda bisa menikmati matahari terbenam yang indah. Sambil melihat panorama, jangan lupa mencicipi kuliner di pinggiran pantainya. Terdapat berbagai spot foto menarik untuk Anda pecinta fotografi.",wisata air
Masjid Raya Sultan Riau Penyengat,"Masjid ini telah masuk sebagai bangunan cagar alam yang ditetapkan oleh provinsi Kepulauan Riau. Ini karena masjid tersebut merupakan bangunan bersejarah yang telah berdiri sejak masa pemerintahan Kesultanan Islam di pulau Penyengat. Dibangun selama 40 tahun, Masjid Raya Sultan Riau di dominasi warna kuning dan hijau, dan menjadi bangunan yang mencolok. Jika cuaca sedang cerah, Anda bisa melihat siluetnya dari pantai Pulau Penyengat.",situs bersejarah dan religi
Pantai Tanjung Siambang,"Pantai yang berada di Riau ini memiliki air yang jernih dan sejuk. Pepohonan rindang menghiasi pantai serta pasir putih yang indah sangat cocok untuk dijadikan lokasi berlibur. Suasana pantai ini juga masih sepi karena belum banyak yang tahu lokasi pantai ini.Beberapa fasilitas yang ada di pantai ini diantaranya ayunan di dekat pantai, dermaga yang berfungsi sebagai penghubung, restoran serta ada juga penyewaan pondok.",wisata air
Tugu Pensil,"Objek wisata di Tanjung Pinang ini terlihat unik, karena bentuk pensilnya dengan warna hijau yang cerah. Tugu pensil dibangun sebagai tanda keberhasilan pemerintah memberantas buta huruf di daerah tersebut. Dari Tugu Pensil ini, Anda masih bisa menikmati matahari terbenam yang terlihat dari pantai Pulau Penyengat.",wisata kota
Tugu Proklamasi Riau,"Berdiri tahun 1949, tugu ini merupakan tempat pengibaran bendera kabangsaan Indonesia pertama kali. Lokasi tugu yang strategis menjadi daya tarik wisatawan. Tugu ini juga dibangun guna memperingati perjuangan Mochtar Husein dalam perjuangannya menjadikan Riau sebagai bagian NKRI. Hingga akhirnya Riau bersatu dengan NKRI pada tahun 1949. Dulunya Riau berniat bergabung dengan Singapura. Alasannya karena dianggap masih serumpun. Sedangkan Indonesia masih berbentuk Nusantara. Hingga pada akhirnya berkat perjuangan beliaulah Riau bergabung dengan NKRI.",wisata kota
Bukit Panglong,"Bukit ini merupakan bekas tambang galian granit yang dilakukan secara terus-menerus selama 50 tahun. Sehingga menghasilkan kawah yang dalam dan makin lama diisi oleh air hujan, menghasilkan dominasi warna biru yang cantik. Pemerintah setempat berencana untuk mengembangkan Bukit Panglong sebagai objek wisata komersil dan mengolahnya sebagai sumber utama air bersih. Namun hingga saat ini, Anda masih bisa mengunjungi dan menikmati pemandangan indahnya.",pegunungan dan pedesaan
Masjid Raya Dompak,"Masjid Raya Dompak terkenal sebagai objek wisata religi di Tanjung Pinang. Nama lainnya adalah Masjid Biru dan Masjid Kepulauan Riau. Dibangun di dataran tinggi, Anda bisa melihatnya dari pesisir pantai. Dengan menaranya yang tinggi, Anda bisa naik hingga ke puncaknya dan menyaksikan seluruh Pulau Dombak dan Kota Tanjung Pinang yang dihubungkan dengan sebuah jembatan yang cantik.",situs bersejarah dan religi
Masjid Pink,"Sebagai daerah yang dulunya merupakan wilayah Kesultanan Islam, Tanjung Pinang memiliki banyak masjid yang tersebar di wilayahnya. Salah satunya yang cukup terkenal adalah masjid unik yang berwarna pink. Secara administratif, masjid ini sebenarnya masuk dalam Kabupaten Bintan, namun Anda bisa mengunjunginya dari Tanjung Pinang. Dengan arsitektur dan warna yang menarik, akan sayang untuk melewatkan objek wisata religi yang satu ini.",situs bersejarah dan religi
Pantai Trikora,"Pantai yang terkenal karena keindahan alamnya yang eksotis ini juga merupakan objek wisata yang cukup populer di Tanjung Pinang. Seperti umumnya pantai di Belitung, Pantai Trikora memilik pasir putih yang cantik dan sebaran batu-batu granit di pesisirnya. Jangan khawatir tentang fasilitas, Anda bisa menemukan beragam hiburan menarik di pantai ini. Jika ingin menginap atau beristirahat, Anda bisa mampir ke resort maupun pondokkan kecil yang tersebar di sepanjang garis pantai.",wisata air
Museum Sultan Sulaiman Badrul Alamsyah,"Pemerintah Kepulauan Riau memberikan fasilitas berupa museum untuk wisatawan yang berkunjung ke Tanjung Pinang dan ingin mengetahui bagaimana sejarah berdirinya kota tersebut, sekaligus melihat berbagai peninggalan Kesultanan Riau sebelumnya. Selain berwisata secara edukasional, Anda juga akan mengetahui sejarah singkat bagaimana pengaruh Kesultanan tersebut dan perkembangannya, dari berbagai benda koleksi yang ditampilkan oleh Museum Sultan Sulaiman Badrul Alamsyah.",situs bersejarah dan religi
Taman Wisata Habibie 1000 Tangga,"Lokasi ini dulunya adalah kawasan tempat tinggal BJ Habibie. Nama dari tempat ini juga diambil dari penggambaran banyaknya anak tangga yang harus didaki ketika berada di sini. Kawasan hiburan yang menawarkan pemandangan dari ketinggian ini memasang tarif Rp 5.000 per orang. Pemandangan yang paling menarik di sini adalah hamparan biru air laut yang bisa Anda lihat dari gazebo atau saung kecil yang dipasang menempel pohon. Terdapat pemandangan lain, yaitu penampakan negara tetangga dengan segala kesibukannya. Anda dapat melihat Singapura dengan mata telanjang ketika hari tengah cerah. Dan jangan lupa mengambil foto di sana.",wisata kota
Tebing Langit Bukit Dangas Sekupang,"Bagi pemburu sunset, Anda harus mengunjungi tempat ini. Di tempat ini disediakan tempat tinggi dihiasi perlengkapan unik untuk difoto. Jika Anda ingin melihat pemandangan dari atas tebing ini, Anda harus menaiki beberapa anak tangga yang jumlahnya lumayan banyak. Tetapi, kelelahan ini akan terbayar begitu sampai di puncak. Anda dapat melihat pemandangan hamparan hijau lautan pohon. Untuk merasakan keindahan dan pemandangan dari Tebing Langit, para pengunjung harus membayar Rp. 10.000 tiap orang. Yang menarik di tempat ini adalah banyaknya spot foto dengan berbagai pemandangan di sana. Seperti contoh, saung yang berada di atas pohon, dihias semenarik mungkin dengan serabut pepohonan.",pegunungan dan pedesaan
Hutan Wisata Mata Kucing dan Bonbin Mini,"Salah satu wisata edukasi di Kota Batam ini wajib Anda jajal bersama keluarga, terlebih lagi untuk Anda yang ingin memperkenalkan berbagai jenis flora dan fauna kepada anak-anak. Kunjungan Anda di hutan wisata mata kucing akan menambah pengetahuan buah hati mengenai keragaman flora dan fauna di Indonesia dan dunia. Di sini Anda bisa berfoto dengan berbagai jenis satwa yang ada. Hal ini akan menjadi momen yang menggembirakan bagi anak-anak dalam mengisi waktu liburnya. Ajaklah anak Anda berlibur di Mata kucing agar mempunyai waktu berlibur yang berkualitas.",pegunungan dan pedesaan
Pancur Telaga Bidadari,"Wisata Pancur Telaga Bidadari ini dapat dikatakan sebagai wisata baru dengan pengunjung yang belum terlalu banyak. Walau begitu, tempat ini justru cocok untuk beristirahat dan rileks sejenak.Wisata ini berada di kawasan Simpang Dam. Anda dapat mencoba pengalaman berenang di pancur ini. Perairannya yang hijau jernih seolah menjadi pemandangan menarik. Ditambah, di atas pancur terdapat air terjun mini. Ketika Anda berenang di sini, Anda akan merasakan kesejukan airnya yang segar.",wisata air
Pantai Losari,"Pantai Losari adalah sebuah pantai yang terletak di sebelah barat Kota Makassar, Provinsi Sulawesi Selatan, Indonesia yang berjarak kurang lebih 20 km dari Bandar Udara Internasional Sultan Hasanuddin. Setiap hari Minggu, masyarakat dapat menikmati hari bebas kendaraan bermotor sampai jam sepuluh pagi. Kegiatan utama yang dilakukan adalah olahraga lari dan sepeda, yang biasanya dilanjutkan dengan sarapan bubur ayam, baroncong, atau nasi kuning. Pada sore hari, semua orang bisa menikmati proses atau detik-detik tenggelamnya matahari. Memasuki waktu malam akan semakin banyak penjual makanan yang berjejer di sepanjang pantai, khususnya penjual pisang epe.",wisata air
Pulau Kodingareng Keke,"Pulau Kodingareng Keke merupakan pulau yang terletak di Makassar, Sulawesi Selatan. Pulau ini merupakan salah satu pulau yang tidak berpenghuni di daerah Makassar. Meskipun dengan ukuran pulau yang kecil,tetapi pulau ini memiliki biota laut yang masih terjaga, sehingga pemandangan bawah laut pulau ini masih alami.",wisata air
